               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.088641,            0.024593,             0.02819,             0.13902,             0.46658,             0.15126,            0.050634,            0.089364,            0.016943,            0.019138,            0.009307,            0.009307,            0.009307
                  37,            0.083761,             0.02798,            0.026925,             0.27536,             0.50778,             0.35227,             0.11479,            0.079531,            0.018156,            0.018775,           0.0092872,           0.0092872,           0.0092872
                  38,            0.082967,            0.028774,            0.028711,             0.10605,             0.50017,             0.14415,            0.044481,            0.088675,            0.019186,            0.017838,           0.0092674,           0.0092674,           0.0092674
                  39,              0.0895,            0.026769,             0.03024,             0.27604,             0.50811,             0.40602,             0.15363,            0.076611,            0.018478,            0.025005,           0.0092476,           0.0092476,           0.0092476
                  40,            0.079212,            0.026846,            0.026983,             0.27604,             0.50811,             0.40602,             0.15363,            0.076611,            0.018478,            0.025005,           0.0092278,           0.0092278,           0.0092278
                  41,            0.074608,            0.029463,            0.025221,             0.32546,             0.58612,             0.40833,             0.13991,            0.073722,            0.018393,            0.023742,            0.009208,            0.009208,            0.009208
                  42,              0.0761,            0.027258,            0.026452,             0.31858,             0.73555,             0.44029,             0.12934,            0.078938,            0.018072,            0.017967,           0.0091882,           0.0091882,           0.0091882
                  43,            0.081267,            0.026292,            0.025426,              0.5058,              0.6525,             0.58622,             0.18228,            0.077606,            0.016968,             0.01803,           0.0091684,           0.0091684,           0.0091684
                  44,            0.082519,            0.024173,            0.025187,              0.5058,              0.6525,             0.58622,             0.18228,            0.077606,            0.016968,             0.01803,           0.0091486,           0.0091486,           0.0091486
                  45,            0.076167,            0.027192,             0.02512,             0.33324,             0.57311,             0.38978,             0.16146,            0.069634,            0.017094,            0.019979,           0.0091288,           0.0091288,           0.0091288
                  46,            0.072524,            0.029987,            0.024205,             0.33449,             0.78162,             0.39707,             0.13733,            0.071024,             0.01693,            0.016475,            0.009109,            0.009109,            0.009109
                  47,             0.07545,            0.026818,            0.023131,             0.42002,             0.79496,             0.58056,             0.14885,            0.080269,            0.015518,             0.01558,           0.0090892,           0.0090892,           0.0090892
